Team,Conf,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W15,Notes
Texas State,Pac12,,@ Texas,vs UTSA,vs North Texas,vs Incarnate Word,@ San Diego State,,vs Colorado State,vs Utah State,@ Boise State,@ Oregon State,vs Fresno State,vs Washington State,,,Pac-12 Wk13 flex TBD (=13 games)
Utah State,Pac12,,vs Idaho State,@ Washington,@ Utah,vs Troy,@ Boise State,vs Washington State,,@ Texas State,vs Colorado State,vs Fresno State,@ San Diego State,@ Oregon State,vs TBD,,
Washington State,Pac12,,@ Washington,@ Kansas State,vs Duquesne,vs Arizona,vs Fresno State,@ Utah State,@ Oregon State,vs Boise State,@ San Diego State,,vs Colorado State,@ Texas State,vs TBD,,
Alabama,SEC,,vs East Carolina,@ Kentucky,vs Florida State,vs South Carolina,@ Mississippi State,vs Georgia,@ Tennessee,vs Texas A&M,,@ LSU,@ Vanderbilt,vs Chattanooga,vs Auburn,,
Auburn,SEC,,vs Baylor,vs Southern Mississippi,vs Florida,vs Vanderbilt,@ Tennessee,,@ Georgia,vs LSU,@ Ole Miss,vs Arkansas,@ Mississippi State,vs Samford,@ Alabama,,
Florida,SEC,,vs Florida Atlantic,vs Campbell,@ Auburn,vs Ole Miss,@ Missouri,vs South Carolina,@ Texas,,@ Georgia,vs Oklahoma,@ Kentucky,vs Vanderbilt,@ Florida State,,
Georgia,SEC,,vs Tennessee State,vs Western Kentucky,@ Arkansas,vs Oklahoma,vs Vanderbilt,@ Alabama,vs Auburn,,vs Florida,@ Ole Miss,vs Missouri,@ South Carolina,vs Georgia Tech,,
Kentucky,SEC,,vs Youngstown State,vs Alabama,@ Texas A&M,vs South Alabama,@ South Carolina,vs LSU,@ Oklahoma,vs Vanderbilt,,@ Tennessee,vs Florida,@ Missouri,vs Louisville,,
LSU,SEC,,vs Clemson,vs Louisiana Tech,@ Ole Miss,vs Texas A&M,vs McNeese,@ Kentucky,vs Mississippi State,@ Auburn,,vs Alabama,vs Texas,@ Tennessee,@ Arkansas,,
Mississippi State,SEC,,vs UL Monroe,@ Minnesota,@ South Carolina,vs Missouri,vs Alabama,,@ LSU,vs Oklahoma,@ Texas,vs Vanderbilt,vs Auburn,vs Tennessee Tech,@ Ole Miss,,
Missouri,SEC,,vs Arkansas-Pine Bluff,@ Kansas,vs Troy,@ Mississippi State,vs Florida,vs Texas A&M,@ Ole Miss,,@ Arkansas,vs Texas,@ Georgia,vs Kentucky,vs Oklahoma,,
Oklahoma,SEC,,vs UTEP,@ Michigan,vs New Mexico,@ Georgia,,vs Texas,vs Kentucky,@ Mississippi State,vs South Carolina,@ Florida,vs Ole Miss,vs Texas A&M,@ Missouri,,
Ole Miss,SEC,,vs Louisville,vs Charlotte,vs LSU,@ Florida,,@ Vanderbilt,vs Missouri,@ Texas,vs Auburn,vs Georgia,@ Oklahoma,vs Wofford,vs Mississippi State,,
South Carolina,SEC,,vs Kent State,vs Towson,vs Mississippi State,@ Alabama,vs Kentucky,@ Florida,,vs Tennessee,@ Oklahoma,vs Texas A&M,@ Arkansas,vs Georgia,@ Clemson,,
Tennessee,SEC,,vs Furman,@ Georgia Tech,vs Kennesaw State,vs Texas,vs Auburn,@ Arkansas,vs Alabama,@ South Carolina,,vs Kentucky,@ Texas A&M,vs LSU,@ Vanderbilt,,
Texas,SEC,,vs Texas State,vs Ohio State,vs UTSA,@ Tennessee,,@ Oklahoma,vs Florida,vs Ole Miss,vs Mississippi State,@ Missouri,@ LSU,vs Arkansas,@ Texas A&M,,
Texas A&M,SEC,,vs Missouri State,vs Arizona State,vs Kentucky,@ LSU,vs Arkansas,@ Missouri,vs The Citadel,@ Alabama,,@ South Carolina,vs Tennessee,@ Oklahoma,vs Texas,,
Vanderbilt,SEC,,vs Austin Peay,vs Delaware,vs NC State,@ Auburn,@ Georgia,vs Ole Miss,vs Arkansas,@ Kentucky,,@ Mississippi State,vs Alabama,@ Florida,vs Tennessee,,
Appalachian State,Sun Belt,,vs Maine,@ East Carolina,vs Charlotte,@ NC State,,vs Old Dominion,@ Coastal Carolina,vs James Madison,@ Georgia Southern,vs Georgia State,@ Marshall,vs UL Monroe,@ South Alabama,,
Arkansas State,Sun Belt,,@ Memphis,vs West Georgia,@ TCU,vs Kennesaw State,@ UL Lafayette,vs South Alabama,@ Southern Mississippi,vs Georgia State,,vs UL Monroe,@ Coastal Carolina,@ Louisiana Tech,vs Troy,,
Coastal Carolina,Sun Belt,,@ West Virginia,vs Fordham,@ Delaware,vs Liberty,vs Georgia Southern,@ Marshall,vs Appalachian State,,@ Georgia State,vs Old Dominion,vs Arkansas State,@ UL Lafayette,@ James Madison,,
Georgia Southern,Sun Belt,,vs Charleston Southern,@ Clemson,@ Jacksonville State,vs Houston,@ Coastal Carolina,vs James Madison,@ Old Dominion,,vs Appalachian State,vs Marshall,@ Georgia State,@ Troy,vs Louisiana Tech,,
