Team	Mkt O/U	SP+ Rk	SP+ Rtg	RetProd%	Ret Off%	Ret Def%	TARP net	TARP off	TARP def	Collin Proj	Proj−Mkt	6-Win%	SOS Rk
Delaware	6.5	114	-13.0	62	62	62	-0.5	0.5	-1.0				
Bowling Green	4.5	115	-13.3	35	32	38	-5.5	-4.5	-1.0				
South Alabama	5.5	116	-13.3	44	51	37	1.0	1.0	0.0	5.6	0.1		
Ohio	6.5	117	-13.6	33	18	48	-2.5	-4.5	2.0				
Florida Intl	6.5	118	-13.7	47	43	50	4.0	2.0	2.0				
Coastal Carolina	4.5	119	-13.8	42	39	44	0.5	1.5	-1.0	4.2	-0.3		
Rice	3.5	120	-14.7	39	40	38	2.5	3.5	-1.0				
EMU	5.5	121	-15.0	62	59	64	-6.0	-4.5	-1.5				
San José State	4.5	122	-15.5	24	24	23	-8.5	-5.0	-3.5				
New Mexico State	4.5	123	-16.4	51	46	55	-2.0	-3.5	1.5				
UAB	3.5	124	-18.1	35	32	38	-3.5	-3.0	-0.5				
Northern Illinois	3.5	125	-18.2	48	68	28	2.5	5.0	-2.5				
Missouri State	4.5	126	-18.7	34	25	44	-3.0	-2.0	-1.0				
Akron	4.5	127	-19.5	40	44	37	-0.5	-3.0	2.5				
Kent State	3.5	128	-20.1	48	57	39	7.5	3.5	4.0				
UTEP	3.5	129	-20.5	35	27	43	-2.0	-1.0	-1.0				
Sacramento State	4.5	130	-22.7	32	21	42							
Southern Mississippi	3.5	131	-23.3	22	23	20	-6.5	-5.5	-1.0	3.0	-0.5		
UL Monroe	3.5	132	-24.3	51	63	40	3.0	4.0	-1.0	3.0	-0.5		
Georgia State	4.5	133	-25.1	38	48	27	1.5	0.0	1.5	3.9	-0.6		
Ball State	3.5	134	-25.2	36	47	24	-3.5	-2.5	-1.0				
Middle Tennessee	3.5	135	-26.0	36	34	37	-3.5	-3.0	-0.5				
Sam Houston	3.5	136	-26.3	49	52	46	-1.5	-0.5	-1.0				
UMASS	2.5	137	-30.9	46	49	43	0.5	0.5	0.0				
Charlotte	2.5	138	-32.4	43	52	34	-1.0	0.0	-1.0				
