Team	Mkt O/U	SP+ Rk	SP+ Rtg	RetProd%	Ret Off%	Ret Def%	TARP net	TARP off	TARP def	Collin Proj	Proj−Mkt	6-Win%	SOS Rk	Pool Conf	game_count	game_delta	bye_count	byes	home	road	max_road_streak	cupcakes	sos_proxy	anchor_on_anchor	pod_upside_status
Michigan	8.5	14	16.1	63	72	55	4.5	6.0	-1.5					Big Ten	12	0	1	6	8	4	1	0	7.3		pending-pod
Michigan State	4.5	67	0.4	46	48	45	-3.5	-1.5	-2.0					Pac12	12	0	1	9	7	5	2	0	7.3	wk1 vs Toledo(7.5); wk3 @ Notre Dame(11.5); wk12 vs Oregon(10.5)	pod-loaded
Middle Tennessee	3.5	135	-26.0	36	34	37	-3.5	-3.0	-0.5					CUSA	12	0	1	6	6	6	2	1	6.1		pending-pod
Minnesota	6.5	45	5.2	68	71	65	8.0	3.5	4.5					Big Ten	12	0	1	7	7	5	1	1	6.7		pending-pod
Mississippi State	4.5	52	3.9	48	44	52	1.0	1.5	-0.5					SEC	12	0	1	6	7	5	2	1	7.0		pending-pod
Missouri	6.5	20	14.8	49	59	40	-1.0	0.0	-1.0					SEC	12	0	1	8	7	5	2	1	6.9		pending-pod
Missouri State	4.5	126	-18.7	34	25	44	-3.0	-2.0	-1.0					CUSA	12	0	1	5	6	6	2	1	6.8		pending-pod
NC State	7.5	48	4.9	54	62	46	2.5	3.5	-1.0					ACC	12	0	2	1&7	7	5	2	1	5.8		pending-pod
Navy	7.5	63	1.1	47	33	61	-2.0	-3.5	1.5					AAC	12	0	2	3&11	6	6	3	1	6.3		pending-pod
Nebraska	6.5	37	7.7	69	69	69	11.0	6.0	5.0					Big Ten	12	0	1	8	7	5	2	1	7.1		pending-pod
Nevada	4.5	112	-12.2	48	57	39	-3.0	-3.0	0.0					MWC	12	0	1	5	6	6	2	1	5.8		pending-pod
New Mexico	7.5	68	-0.5	63	68	58	-1.5	0.0	-1.5					MWC	12	0	1	6	6	6	2	1	5.9		pending-pod
New Mexico State	4.5	123	-16.4	51	46	55	-2.0	-3.5	1.5					CUSA	12	0	2	3&7	6	6	2	1	6.2		pending-pod
North Carolina	4.5	54	3.8	44	47	42	-4.0	-3.0	-1.0					ACC	12	0	2	1&4	6	6	2	1	7.5		pending-pod
North Dakota State		72	-1.4	52	45	60								MWC	12	0	2	4&10	6	6	2	1	5.8		pending-pod
North Texas	5.5	109	-11.8	32	28	35	-8.0	-5.0	-3.0					AAC	12	0	1	7	6	6	2	1	6.1		pending-pod
Northern Illinois	3.5	125	-18.2	48	68	28	2.5	5.0	-2.5					MWC	12	0	1	5	5	7	2	1	6.0		pending-pod
Northwestern	5.5	49	4.6	57	57	58	3.5	2.0	1.5					Big Ten	12	0	1	2	7	5	2	1	7.0		pending-pod
Notre Dame	11.5	3	25.8	72	67	77	5.5	0.5	5.0					CUSA	12	0	1	8	7	5	2	0	5.8	wk9 @ Navy(7.5); wk10 vs Miami(10.5)	pending-pod
Ohio	6.5	117	-13.6	33	18	48	-2.5	-4.5	2.0					MAC	12	0	1	9	6	6	2	1	5.7		pending-pod
Ohio State	9.5	1	31.8	60	71	50	10.5	6.0	4.5					Big Ten	12	0	1	8	7	5	2	0	7.3		pending-pod
Oklahoma	7.5	12	17.2	65	75	55	8.0	6.0	2.0					SEC	12	0	1	5	7	5	1	0	7.0		pending-pod
Oklahoma State	6.5	38	7.1	58	62	53	10.0	6.0	4.0					Pac12	12	0	1	5	6	6	2	1	6.9	wk2 vs Oregon(10.5); wk11 vs Texas Tech(10.5)	pod-loaded
Old Dominion	7.5	88	-5.8	40	23	58	-3.5	-6.0	2.5	7.4	-0.1			Sun Belt	12	0	1	11	6	6	2	1	5.8	wk3 vs East Carolina(7.5); wk4 @ James Madison(8.5); wk9 @ Marshall(7.5)	pod-loaded
Ole Miss	7.5	16	15.9	61	61	62	4.5	-0.5	5.0					SEC	12	0	1	5	8	4	2	1	7.0		pending-pod
Oregon	10.5	2	28.3	66	65	66	11.0	6.0	5.0					Big Ten	12	0	1	5	7	5	1	1	7.1		pending-pod
Oregon State	4.5	91	-6.3	47	49	44	-1.0	-2.0	1.0	3.8	-0.7			Pac12	13	+1	1	8	6	5	2	1	6.2	wk2 vs Texas Tech(10.5); wk11 @ Boise State(7.5)	pod-loaded
Penn State	8.5	17	15.7	52	50	53	11.0	6.0	5.0					Big Ten	12	0	1	8	7	5	1	0	6.3		pending-pod
Pittsburgh	7.5	41	6.5	58	60	56	-1.0	-1.0	0.0					ACC	12	0	1	10	7	5	2	1	6.4		pending-pod
Purdue	3.5	82	-2.9	58	61	55	3.0	3.0	0.0					Pac12	12	0	1	8	7	5	1	1	7.6	wk4 vs Notre Dame(11.5); wk13 @ Indiana(10.5)	pod-loaded
Rice	3.5	120	-14.7	39	40	38	2.5	3.5	-1.0					AAC	12	0	1	9	6	6	2	1	7.0		pending-pod
Rutgers	4.5	62	1.8	47	49	46	-5.5	-3.0	-2.5					Big Ten	12	0	1	6	7	5	2	1	6.4		pending-pod
SMU	8.5	28	10.9	62	66	58	6.0	4.5	1.5					ACC	12	0	1	6	7	5	2	1	6.2		pending-pod
Sacramento State	4.5	130	-22.7	32	21	42								MAC	12	0	2	5&12	6	6	2	1	5.4		pending-pod
Sam Houston	3.5	136	-26.3	49	52	46	-1.5	-0.5	-1.0					CUSA	12	0	1	5	6	6	2	1	6.4		pending-pod
San Diego State	6.5	71	-1.3	59	76	43	0.0	2.5	-2.5					Pac12	13	+1	1	10	6	5	1	1	6.0	wk3 vs James Madison(8.5); wk4 @ Toledo(7.5); wk12 @ Boise State(7.5)	pod-loaded
San José State	4.5	122	-15.5	24	24	23	-8.5	-5.0	-3.5					MWC	13	+1	1	4	7	6	2	1	6.1		pending-pod
South Alabama	5.5	116	-13.3	44	51	37	1.0	1.0	0.0	5.6	0.1			Sun Belt	12	0	1	7	6	6	2	1	5.9		pod-loaded
South Carolina	6.5	24	12.1	68	76	61	9.5	6.0	3.5					SEC	12	0	1	7	7	5	1	1	6.7		pending-pod
South Florida	8.5	80	-2.8	41	47	36	-9.0	-6.0	-3.0					AAC	12	0	1	8	7	5	1	1	6.0		pending-pod
Southern Mississippi	3.5	131	-23.3	22	23	20	-6.5	-5.5	-1.0	3.0	-0.5			Sun Belt	12	0	1	5	6	6	2	1	6.4		pod-loaded
Stanford	3.5	75	-1.9	60	58	62	-3.5	-2.0	-1.5					ACC	12	0	2	2&10	6	6	3	1	7.7		pending-pod
Syracuse	4.5	69	-0.7	62	56	67	11.0	6.0	5.0					MWC	12	0	1	4	6	6	3	1	7.1	wk13 vs Notre Dame(11.5)	pending-pod
TCU	6.5	34	9.1	51	44	58	-4.0	-3.0	-1.0					Big 12	12	0	2	1&6	8	4	1	1	7.0		pending-pod
Temple	5.5	102	-8.7	53	62	43	-1.0	-0.5	-0.5					AAC	12	0	1	8	7	5	2	1	6.3		pending-pod
